Model,AICc,Parameter,Mean_Value,SD_Error
Single-Site,-125.37235433261239,rf,0.08557413992056764,0.006195252965190474
Single-Site,-125.37235433261239,rb,0.27885448853747213,0.015964665586159506
Single-Site,-125.37235433261239,kd,603.1871123411364,175.19343011797247
Hill,-127.16032568985047,rf,0.07634742169259033,0.009323991590350111
Hill,-127.16032568985047,rb,0.3921915575379158,0.05877033705456396
Hill,-127.16032568985047,kd,2962.765154167208,1783.6087917078307
Hill,-127.16032568985047,n,0.5889925540629285,0.144783868205277
Independent (Biphasic),-131.60004777873436,rf,0.07969448033448956,0.005520145239737441
Independent (Biphasic),-131.60004777873436,rb1,0.1847421166774246,0.024490115240642464
Independent (Biphasic),-131.60004777873436,rb2,0.36626036411424967,0.09044480009414725
Independent (Biphasic),-131.60004777873436,kd1,154.27657562215805,79.15680131711295
Independent (Biphasic),-131.60004777873436,kd2,15195.606386653184,10048.458269071969
Independent,-130.54563014221324,rf,0.08151242721862095,0.0059684754221684105
Independent,-130.54563014221324,rb,0.3532908848738691,0.042835282538094495
Independent,-130.54563014221324,kd1,285.7047241956802,105.77277893403517
Independent,-130.54563014221324,kd2,14749.464909802866,15284.317374725384
Sequential,-130.55656365319751,rP,0.07991915301307694,0.005768376141964376
Sequential,-130.55656365319751,rPL,0.18571079059541307,0.02761394464138909
Sequential,-130.55656365319751,rPL2,0.4073952795564801,0.05568129833846478
Sequential,-130.55656365319751,k1,155.3722805451125,87.55466123111887
Sequential,-130.55656365319751,k2,10744.693106562345,6490.128966862516
Tight Binding,-121.73525201927801,rf,0.08614873682582967,0.006540534070185182
Tight Binding,-121.73525201927801,rb,0.27478778625936096,0.017638733517074123
Tight Binding,-121.73525201927801,kd,491.26412270947077,223.80041211861212
Tight Binding,-121.73525201927801,probe_conc,182.27510281439936,217.7310944157733
